Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2015-09-01,109.35,111.24,93.55,103.26,103.26,497401200,NETFLIX
2015-10-01,102.91,115.83,96.26,108.38,108.38,446204400,NETFLIX
2015-11-01,109.2,126.6,101.86,123.33,123.33,320321800,NETFLIX
2015-12-01,124.47,133.27,113.85,114.38,114.38,319939200,NETFLIX
2016-01-01,109.0,122.18,90.11,91.84,91.84,488193200,NETFLIX
2016-02-01,91.79,97.48,79.95,93.41,93.41,389268900,NETFLIX
2016-03-01,94.58,104.91,93.61,102.23,102.23,311333700,NETFLIX
2016-04-01,102.93,111.85,88.21,90.03,90.03,340174300,NETFLIX
2016-05-01,90.41,104.0,85.74,102.57,102.57,264997900,NETFLIX
2016-06-01,101.5,102.15,84.81,91.48,91.48,218216500,NETFLIX
2016-07-01,95.0,101.27,84.5,91.25,91.25,320138000,NETFLIX
2016-08-01,91.23,98.85,90.5,97.45,97.45,182611000,NETFLIX
2016-09-01,97.81,100.35,93.26,98.55,98.55,169670600,NETFLIX
2016-10-01,98.0,129.29,97.63,124.87,124.87,274097800,NETFLIX
2016-11-01,124.98,125.83,110.68,117.0,117.0,147513000,NETFLIX
2016-12-01,117.52,129.07,113.95,123.8,123.8,128528700,NETFLIX
2017-01-01,124.96,143.46,124.31,140.71,140.71,181814100,NETFLIX
2017-02-01,141.2,145.95,139.05,142.13,142.13,91444800,NETFLIX
2017-03-01,142.84,148.29,138.26,147.81,147.81,110692700,NETFLIX
2017-04-01,146.7,153.52,138.66,152.2,152.2,149779000,NETFLIX
2017-05-01,151.91,164.75,151.61,163.07,163.07,116795800,NETFLIX
2017-06-01,163.52,166.87,147.3,149.41,149.41,135699700,NETFLIX
2017-07-01,149.8,191.5,144.25,181.66,181.66,185144700,NETFLIX
2017-08-01,182.49,184.62,164.23,174.71,174.71,136534400,NETFLIX
2017-09-01,175.55,189.95,172.44,181.35,181.35,111427900,NETFLIX
2017-10-01,182.11,204.38,176.58,196.43,196.43,208657800,NETFLIX
2017-11-01,197.24,202.48,184.32,187.58,187.58,110996600,NETFLIX
2017-12-01,186.99,194.49,178.38,191.96,191.96,115103700,NETFLIX
2018-01-01,196.1,286.81,195.42,270.3,270.3,238377600,NETFLIX
2018-02-01,266.41,297.36,236.11,291.38,291.38,184585800,NETFLIX
2018-03-01,292.75,333.98,275.9,295.35,295.35,263449400,NETFLIX
2018-04-01,291.94,338.82,271.22,312.46,312.46,262006000,NETFLIX
2018-05-01,310.36,356.1,305.73,351.6,351.6,142050800,NETFLIX
2018-06-01,353.88,423.21,352.82,391.43,391.43,244031800,NETFLIX
2018-07-01,385.45,419.77,328.0,337.45,337.45,305393800,NETFLIX
2018-08-01,335.87,376.81,310.93,367.68,367.68,213122300,NETFLIX
2018-09-01,366.47,383.2,335.83,374.13,374.13,170832100,NETFLIX
2018-10-01,375.85,386.8,271.21,301.78,301.78,363589800,NETFLIX
2018-11-01,304.59,332.05,250.0,286.13,286.13,257126400,NETFLIX
2018-12-01,293.19,298.72,231.23,267.66,267.66,234310000,NETFLIX
2019-01-01,259.28,358.85,256.58,339.5,339.5,306616400,NETFLIX
2019-02-01,337.18,371.49,336.5,358.1,358.1,148192100,NETFLIX
2019-03-01,362.26,379.0,342.47,356.56,356.56,144843100,NETFLIX
2019-04-01,359.0,384.8,342.27,370.54,370.54,165079400,NETFLIX
2019-05-01,374.0,385.99,341.39,343.28,343.28,125298300,NETFLIX
2019-06-01,343.56,375.0,332.65,367.32,367.32,111052000,NETFLIX
2019-07-01,373.5,384.76,305.81,322.99,322.99,196652500,NETFLIX
2019-08-01,324.25,328.58,287.2,293.75,293.75,137076700,NETFLIX
2019-09-01,290.82,301.55,252.28,267.62,267.62,175411300,NETFLIX
2019-10-01,267.35,308.75,257.01,287.41,287.41,231556400,NETFLIX
2019-11-01,288.7,316.82,281.14,314.66,314.66,113645900,NETFLIX
2019-12-01,314.39,338.0,292.02,323.57,323.57,124723600,NETFLIX
2020-01-01,326.1,359.85,321.2,345.09,345.09,169874000,NETFLIX
2020-02-01,347.24,392.95,346.28,369.03,369.03,114056000,NETFLIX
2020-03-01,373.11,393.52,290.25,375.5,375.5,201979100,NETFLIX
2020-04-01,376.05,449.52,357.51,419.85,419.85,225111600,NETFLIX
2020-05-01,415.1,458.97,397.86,419.73,419.73,135055800,NETFLIX
2020-06-01,418.83,474.01,404.25,455.04,455.04,117279900,NETFLIX
2020-07-01,454.0,575.37,454.0,488.88,488.88,232206300,NETFLIX
2020-08-01,490.86,549.04,466.55,529.56,529.56,116261900,NETFLIX
2020-09-01,532.6,557.39,458.6,500.03,500.03,118796900,NETFLIX
2020-10-01,506.03,572.49,472.21,475.74,475.74,154302400,NETFLIX
2020-11-01,478.87,518.73,463.41,490.7,490.7,91788900,NETFLIX
2020-12-01,492.34,545.5,491.29,540.73,540.73,77564100,NETFLIX
2021-01-01,539.0,593.29,485.67,532.39,532.39,139988600,NETFLIX
2021-02-01,536.79,566.65,518.28,538.85,538.85,61902300,NETFLIX
2021-03-01,545.57,556.99,492.85,521.66,521.66,90183900,NETFLIX
2021-04-01,529.93,563.56,499.0,513.47,513.47,111573300,NETFLIX
2021-05-01,512.65,518.95,478.54,502.81,502.81,66927600,NETFLIX
2021-06-01,504.01,536.13,482.14,528.21,528.21,78560600,NETFLIX
